function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar2frd,case_1,G_abcdk,1.7163905124947438e-16,8.711651305353706e-15,1e-12,1e-09,True
dvar2frd,case_1,covG_abcdk,1.0408340855860843e-17,7.434901264531724e-15,1e-13,1e-10,True
dvar2frd,case_2,G_abcdk,3.554447978966673e-16,7.156426688105613e-16,1e-12,1e-09,True
dvar2frd,case_2,covG_abcdk,7.632783294297951e-17,2.881055784584826e-15,1e-13,1e-10,True
dvar2frd,case_3,G_abcdk,2.3263411494723067e-16,2.227852794706998e-15,1e-12,1e-09,True
dvar2frd,case_3,covG_abcdk,1.474514954580286e-17,3.3223406766768064e-15,1e-13,1e-10,True
