function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar2eig,case_1,E,7.978219391693747e-16,9.768149002438956e-16,1e-12,1e-09,True
dvar2eig,case_1,covE,1.540591994795594e-16,6.940691888499296e-11,1e-12,1e-09,True
dvar2eig,case_2,E,6.661338147750939e-16,9.9723056859635e-16,1e-12,1e-09,True
dvar2eig,case_2,covE,5.153348451095163e-16,1.2644179692034e-10,1e-12,1e-09,True
dvar2eig,case_3,E,6.04002714990216e-16,7.377211193579354e-16,1e-12,1e-09,True
dvar2eig,case_3,covE,7.103963684668146e-16,9.930171143876713e-11,1e-12,1e-09,True
