function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar2frd,case_1,G_varx,2.220462989844635e-16,7.547280762552446e-16,1e-12,1e-09,True
dvar2frd,case_1,covG_varx,4.336808689942018e-18,1.4163768548353047e-15,1e-13,1e-10,True
dvar2frd,case_2,G_varx,3.972054645195637e-15,7.292695833471359e-16,1e-12,1e-09,True
dvar2frd,case_2,covG_varx,1.4210854715202004e-14,2.158723515330825e-14,1e-13,1e-10,True
dvar2frd,case_3,G_varx,3.342213888644167e-16,8.008871484657122e-16,1e-12,1e-09,True
dvar2frd,case_3,covG_varx,1.0408340855860843e-17,2.05612434623012e-15,1e-13,1e-10,True
