function,case,metric,max_abs,max_rel,atol,rtol,pass
dvar2frd,case_1,G_abck,1.7163905124947438e-16,1.4631965228009765e-15,1e-12,1e-09,True
dvar2frd,case_1,covG_abck,1.214306433183765e-17,5.516401049971285e-15,1e-13,1e-10,True
dvar2frd,case_2,G_abck,3.554447978966673e-16,6.720690385715728e-16,1e-12,1e-09,True
dvar2frd,case_2,covG_abck,7.979727989493313e-17,3.012012865702318e-15,1e-13,1e-10,True
dvar2frd,case_3,G_abck,2.3263411494723067e-16,2.227852794706998e-15,1e-12,1e-09,True
dvar2frd,case_3,covG_abck,1.474514954580286e-17,3.175896813507708e-15,1e-13,1e-10,True
