function,mode,matrix,count,max_difference,max_pct,mean_pct
dx2abck,stable1,B,6,33901146.0431366,0.047895578419785576,0.036579630169482874
dx2abcdk,stable1,A,4,0.004442966634314871,0.003219103434248637,0.0031668178439245133
dx2abcdk,stable1,K,2,0.011797731216404372,0.0031714345656475612,0.0031444863927207953
dx2abcdk,stable1,B,2,3220307.5004119873,0.003145239880342988,0.0031313792166919336
dx2abck,stable1,A,4,2.5779245943269302e-05,0.0008940013971728963,0.00048582959892132737
dx2abck,stable1,K,2,7.100310438801216e-05,0.0005588011115237034,0.00035596513003275667
dx2abck,stable1,C,1,2.3934841573980403e-08,0.0001322935240511901,0.0001322935240511901
dx2abcdk,stable1,D,1,4.733973289067217e-08,0.00010526933468464329,0.00010526933468464329
